[26.277065277] 2022-12-23 16:14:01,643 - INFO - launcher: Starting sanity checks
[26.688337326] 2022-12-23 16:14:01,644 - INFO - launcher: Checking for Python 3.8+
[26.956796646] 2022-12-23 16:14:01,644 - INFO - launcher: Checking console encoding
[27.186393738] 2022-12-23 16:14:01,644 - INFO - launcher: Ensuring we're in the right environment
[351.263523102] 2022-12-23 16:14:01,968 - INFO - launcher: Required checks passed.
[351.754665375] 2022-12-23 16:14:01,969 - INFO - launcher: Optional checks passed.
[352.037429810] 2022-12-23 16:14:01,969 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[0.6669776439666748] 2022-12-23 16:14:02,284 - INFO - musicbot.config | In config.py::MainThread(140531949579080), line 250 in run_checks: Using i18n: config/i18n/kr.json
[0.6672167778015137] 2022-12-23 16:14:02,284 - WARNING - musicbot.config | In config.py::MainThread(140531949579080), line 318 in run_checks: AutojoinChannels data is invalid, will not autojoin any channels
[0.6691968441009521] 2022-12-23 16:14:02,286 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 281 in _setup_logging: Set logging level to INFO
[0.6716179847717285] 2022-12-23 16:14:02,289 - DEBUG - musicbot.json | In json.py::MainThread(140531949579080), line 9 in __init__: Init JSON obj with config/i18n/kr.json
[0.9379093647003174] 2022-12-23 16:14:02,555 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 105 in __init__: Starting MusicBot version_unknown
[0.9384891986846924] 2022-12-23 16:14:02,555 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 111 in __init__: Loaded autoplaylist with 2531 entries
[0.9404017925262451] 2022-12-23 16:14:02,557 - WARNING - musicbot.bot | In bot.py::MainThread(140531949579080), line 158 in __init__: The config did not have Spotify app credentials, attempting to use guest mode.
[1.2797799110412598] 2022-12-23 16:14:02,897 - DEBUG - musicbot.spotify | In spotify.py::MainThread(140531949579080), line 100 in get_token: Created a new guest access token: {'access_token': 'BQAdhC0LHbXN1Y2zhiZWYTqFpEMf4WZC-iJZMYuXObbqvKAK-QAr0LuVaKLhqK1gpO4flm6bsIa10kRjnQNfYaOa0nRDJd2v6JE4SX1HNcasVRw96XE', 'expires_at': 1671812316.071}
[1.2799816131591797] 2022-12-23 16:14:02,897 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 168 in __init__: Authenticated with Spotify successfully using guest mode.
[4.1796841621398926] 2022-12-23 16:14:05,797 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 1119 in on_ready: Connection established, ready to go.
[4.1798782348632812] 2022-12-23 16:14:05,797 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 430 in _cache_app_info: Caching app info
[4.4960095882415771] 2022-12-23 16:14:06,113 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 924 in _scheck_ensure_env: Ensuring data folders exist
[4.4965219497680664] 2022-12-23 16:14:06,113 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 939 in _scheck_server_permissions: Checking server permissions
[4.4966053962707520] 2022-12-23 16:14:06,114 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 943 in _scheck_autoplaylist: Auditing autoplaylist
[4.4966750144958496] 2022-12-23 16:14:06,114 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 947 in _scheck_configs: Validating config
[4.4967494010925293] 2022-12-23 16:14:06,114 - DEBUG - musicbot.config | In config.py::MainThread(140531949579080), line 376 in async_validate: Validating options...
[4.4968171119689941] 2022-12-23 16:14:06,114 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 950 in _scheck_configs: Validating permissions config
[4.4969217777252197] 2022-12-23 16:14:06,114 - DEBUG - musicbot.permissions | In permissions.py::MainThread(140531949579080), line 112 in async_validate: Validating permissions...
[4.4970045089721680] 2022-12-23 16:14:06,114 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 1133 in on_ready: Connected: 1052223885547933736/찬영봇#0956
[4.4975936412811279] 2022-12-23 16:14:06,115 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 1141 in on_ready: Owner:     880806484722712626/LOURCODE#6614

[4.4980497360229492] 2022-12-23 16:14:06,115 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 1147 in on_ready: Guild List:
[4.4984033107757568] 2022-12-23 16:14:06,115 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 1151 in on_ready:  - LOURCODE님의 서버
[4.4987511634826660] 2022-12-23 16:14:06,116 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 1151 in on_ready:  - 릴라가족
[4.4992234706878662] 2022-12-23 16:14:06,116 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 1224 in on_ready: Not bound to any text channels
[4.4996023178100586] 2022-12-23 16:14:06,117 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 1260 in on_ready: Not autojoining any voice channels
